column
8 6 IT’S THE MOST WONDERFUL TIME OF THE YEAR , Andy Williams (Columbia) 27 (5)
9 23 SHIVERS , Ed Sheeran (Asylum) 16 (5)
10 8 FELIZ NAVIDAD , Jose Feliciano (RCA) 20 (6)"
"11 7 LAST CHRISTMAS , Wham! (Columbia/Epic) 25 (7)
12 22 INDUSTRY BABY , Lil Nas X & Jack Harlow (Columbia) 23 (1) (1 WEEK AT #1)
13 17 IT’S BEGINNING TO LOOK A LOT LIKE CHRISTMAS , Perry Como & the Fontane Sisters with Mitchell Ayres & His Orchestra (RCA) 12 (12)
14 24 NEED TO KNOW , Doja Cat (Kemosabe/ RCA) 29 (8)
15 10 SLEIGH RIDE , the Ronettes (Philles/ Sony Music) 16 (10)
16 26 SUPER GREMLIN , Kodak Black (Dollaz N Dealz/ Sniper Gang/ Atlantic) 8 (16)
17 27 abcdefu , GAYLE (Atlantic) 6 (15)
18 11 THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU) , Nat King Cole (Capitol) 32 (11)
19 31 BAD HABITS , Ed Sheeran (Asylum) 27 (2)
20 29 COLD HEART (PNAU REMIX) , Elton John & Dua Lipa (EMI/ Mercury) 17 (11)"
"21 13 UNDERNEATH THE TREE , Kelly Clarkson (RCA) 15 (12)
22 16 CHRISTMAS (BABY PLEASE COME HOME) , Darlene Love (Sony Legacy/ Philles) 12 (16)
23 18 SANTA TELL ME , Ariana Grande (Republic) 13 (17)
24 19 RUDOLPH THE RED-NOSED REINDEER , Gene Autry (Challenge/ Columbia) 17 (16)
25 21 WHITE CHRISTMAS , Bing Crosby (Decca (1942-1973 issues); MCA (1983-1985 issues)) 25 (12)
26 25 RUN RUDOLPH RUN , Chuck Berry (Chess) 14 (10)
27 20 HAPPY HOLIDAY / THE HOLIDAY SEASON , Andy Williams (Columbia) 13 (18)
28 32 SMOKIN OUT THE WINDOW , Silk Sonic (Bruno Mars & Anderson.Paak) (Aftermath/ Atlantic) 8 (5)
29 28 (THERE’S NO PLACE LIKE) HOME FOR THE HOLIDAYS , Perry Como (RCA) 12 (22)
30 14 BROADWAY GIRLS , Lil Durk featuring Morgan Wallen (Alamo/ Sony Music) 2 (14)"
"31 38 good 4 u , Olivia Rodrigo (Interscope/ Geffen) 33 (1) (1 WEEK AT #1)
32 39 GHOST , Justin Bieber (Def Jam) 14 (32)
33 45 FANCY LIKE , Walker Hayes (Monument) 28 (3)
34 12 LET IT SNOW, LET IT SNOW, LET IT SNOW , Dean Martin (Capitol) 19 (8)
35 49 THAT’S WHAT I WANT , Lil Nas X (Columbia) 15 (10)
36 re ESSENCE , Wizkid featuring Justin Bieber & Tems (Starboy/ RCA) 25 (9)
37 33 JINGLE BELLS , Frank Sinatra (Capitol) 4 (33)
38 re KISS ME MORE , Doja Cat featuring SZA (Kemosabe/ RCA) 37 (3)
39 50 ONE RIGHT NOW , Post Malone & the Weeknd (Republic) 8 (6)
40 57 OH MY GOD , Adele (Columbia) 6 (5)"
"45 35 SANTA BABY , Eartha Kitt with Henri Rene & His Orchestra (RCA Victor) 3 (35)
47 30 IT’S BEGINNING TO LOOK A LOT LIKE CHRISTMAS , Michael Buble (Reprise) 10 (20)
— 34 YOU’RE A MEAN ONE, MR. GRINCH , Thurl Ravenscroft (MGM) 4 (32)
— 36 WONDERFUL CHRISTMASTIME , Paul McCartney (Parlophone/ Columbia) 6 (28)
— 37 LINUS & LUCY , Vince Guaraldi Trio (Fantasy) 1 (37)
— 40 PLEASE COME HOME FOR CHRISTMAS , Eagles (Asylum) 10 (18)"
"41 48 CHRISTMASTIME IS HERE , Vince Guaraldi Trio (Fantasy) 2 (41)
42 re YOU RIGHT , Doja Cat & the Weeknd (Kemosabe/ RCA) 26 (11)
43 51 HAPPIER THAN EVER , Billie Eilish (Darkroom/ Interscope) 22 (11)
44 54 THINKING ‘BOUT YOU , Dustin Lynch featuring Lauren Alaina or MacKenzie Porter (Broken Bow) 20 (30)
46 56 BETTER DAYS , NEIKED X Mae Muller X Polo G (Neiked Collective) 11 (29)
48 52 LOVE NWANTITI (AH AH AH) , CKay (Chocolate City/ Warner ) 15 (31)
50 D WE DON’T TALK ABOUT BRUNO , Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast (Walt Disney) 1 (50)"
"36 re ESSENCE , Wizkid featuring Justin Bieber & Tems (Starboy/ RCA) 25 (9)
38 re KISS ME MORE , Doja Cat featuring SZA (Kemosabe/ RCA) 37 (3)
50 WE DON’T TALK ABOUT BRUNO , Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast (Walt Disney)
54 SURFACE PRESSURE , Jessica Darrow (Walt Disney)
79 CHRISTMAS TREE , V (NHN Bugs)
83 HRS AND HRS , Muni Long (Supergiant)
88 re DOIN’ THIS , Luke Combs (River House/ Columbia Nashville) 3 (53)
89 re HALF OF MY HOMETOWN , Kelsea Ballerini featuring Kenny Chesney (Black River) 7 (87)
90 re POKE IT OUT , Wale featuring J. Cole (Warner) 7 (79)
92 I AM WOMAN , Emmy Meli (Disruptor/ Arista)
94 PRESSURE , Ari Lennox (Dreamville/ Interscope)
96 BEERS ON ME , Dierks Bentley featuring Breland and Hardy (Capitol Nashville/ Atlantic/ Big Loud)
99 23 , Sam Hunt (MCA Nashville)"
"TW LW TITLE ARTIST (LABEL) WEEKS PEAK #1
1 2 EASY ON ME , Adele (Columbia) 13 (1) 8 WEEKS AT #1
2 6 STAY , the Kid LAROI & Justin Bieber (Grade A/ Columbia) 26 (1) 7 WEEKS AT #1
3 7 HEAT WAVES , Glass Animals (Wolf Tone/ Polydor/ Republic) 51 (3)
4 9 SHIVERS , Ed Sheeran (Asylum) 17 (4)
5 50 WE DON’T TALK ABOUT BRUNO , Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast (Walt Disney) 2 (5)
6 12 INDUSTRY BABY , Lil Nas X & Jack Harlow (Columbia) 24 (1) 1 WEEK AT #1
7 20 COLD HEART (PNAU REMIX) , Elton John & Dua Lipa (EMI/ Mercury) 18 (7)
8 19 BAD HABITS , Ed Sheeran (Asylum) 28 (2)
9 14 NEED TO KNOW , Doja Cat (Kemosabe/ RCA) 30 (8)
10 16 SUPER GREMLIN , Kodak Black (Dollaz N Dealz/ Sniper Gang/ Atlantic) 9 (10)"
"11 17 abcdefu , GAYLE (Atlantic) 7 (11)
12 re LEVITATING , Dua Lipa (Warner) 61 (2)
13 28 SMOKIN OUT THE WINDOW , Silk Sonic (Bruno Mars & Anderson.Paak) (Aftermath/ Atlantic) 9 (5)
14 54 SURFACE PRESSURE , Jessica Darrow (Walt Disney) 2 (14)
15 31 good 4 u , Olivia Rodrigo (Interscope/ Geffen) 34 (1) 1 WEEK AT #1
16 33 FANCY LIKE , Walker Hayes (Monument) 29 (3)
17 32 GHOST , Justin Bieber (Def Jam) 15 (17)
18 re SAVE YOUR TEARS , the Weeknd & Ariana Grande (XO/ Republic) 53 (1) 2 WEEKS AT #1
19 38 KISS ME MORE , Doja Cat featuring SZA (Kemosabe/ RCA) 38 (3)
20 35 THAT’S WHAT I WANT , Lil Nas X (Columbia) 16 (10)"
"21 36 ESSENCE , Wizkid featuring Justin Bieber & Tems (Starboy/ RCA) 26 (9)
22 39 ONE RIGHT NOW , Post Malone & the Weeknd (Republic) 9 (6)
23 46 BETTER DAYS , NEIKED X Mae Muller X Polo G (Neiked Collective) 12 (23)
24 40 OH MY GOD , Adele (Columbia) 7 (5)
25 42 YOU RIGHT , Doja Cat & the Weeknd (Kemosabe/ RCA) 27 (11)
26 43 HAPPIER THAN EVER , Billie Eilish (Darkroom/ Interscope) 23 (11)
27 30 BROADWAY GIRLS , Lil Durk featuring Morgan Wallen (Alamo/ Sony Music) 3 (14)
28 51 BUY DIRT , Jordan Davis featuring Luke Bryan (RCA Nashville) 22 (28)
29 48 LOVE NWANTITI (AH AH AH) , CKay (Chocolate City/ Warner ) 16 (29)
30 49 I HATE U , SZA (Top Dawg/ RCA) 5 (7)"
"31 52 KNIFE TALK , Drake featuring 21 Savage & Project Pat (OVO/ Republic) 18 (4)
32 55 YOU SHOULD PROBABLY LEAVE , Chris Stapleton (Mercury Nashville) 27 (32)
33 53 WAY 2 SEXY , Drake featuring Future & Young Thug (OVO/ Republic) 18 (1) 1 WEEK AT #1
34 83 HRS AND HRS , Muni Long (Supergiant) 2 (34)
35 re IF I DIDN’T LOVE YOU , Jason Aldean & Carrie Underwood (Broken Bow/ Macon/ Capitol Nashville) 21 (15)
36 44 THINKING ‘BOUT YOU , Dustin Lynch featuring Lauren Alaina or MacKenzie Porter (Broken Bow) 21 (30)
37 57 WHISKEY AND RAIN , Michael Ray (Warner Bros. Nashville) 14 (37)
38 re BEGGIN’ , Maneskin (Sony Music) 25 (13)
39 56 MEET ME AT OUR SPOT , THE ANXIETY: WILLOW & Tyler Cole (Roc Nation/ MSFTSMusic) 17 (21)
40 60 ONE MISSISSIPPI , Kane Brown (RCA Nashville) 15 (40)"
"— 1 ALL I WANT FOR CHRISTMAS IS YOU , Mariah Carey (Columbia) 51 (1) 8 WEEKS AT #1
— 3 ROCKIN’ AROUND THE CHRISTMAS TREE , Brenda Lee (Decca) 45 (2)
— 4 JINGLE BELL ROCK , Bobby Helms (Decca) 42 (3)
— 5 A HOLLY JOLLY CHRISTMAS , Burl Ives (Decca) 26 (4)
— 8 IT’S THE MOST WONDERFUL TIME OF THE YEAR , Andy Williams (Columbia) 27 (5)
— 10 FELIZ NAVIDAD , Jose Feliciano (RCA) 20 (6)
— 11 LAST CHRISTMAS , Wham! (Columbia/Epic) 25 (7)
— 13 IT’S BEGINNING TO LOOK A LOT LIKE CHRISTMAS , Perry Como & the Fontane Sisters with Mitchell Ayres & His Orchestra (RCA) 12 (12)
— 15 SLEIGH RIDE , the Ronettes (Philles/ Sony Music) 16 (10)
— 18 THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU) , Nat King Cole (Capitol) 32 (11)
— 21 UNDERNEATH THE TREE , Kelly Clarkson (RCA) 15 (12)
— 22 CHRISTMAS (BABY PLEASE COME HOME) , Darlene Love (Sony Legacy/ Philles) 12 (16)
— 23 SANTA TELL ME , Ariana Grande (Republic) 13 (17)
— 24 RUDOLPH THE RED-NOSED REINDEER , Gene Autry (Challenge/ Columbia) 17 (16)
— 25 WHITE CHRISTMAS , Bing Crosby (Decca (1942-1973 issues); MCA (1983-1985 issues)) 25 (12)
— 26 RUN RUDOLPH RUN , Chuck Berry (Chess) 14 (10)
— 27 HAPPY HOLIDAY / THE HOLIDAY SEASON , Andy Williams (Columbia) 13 (18)
— 29 (THERE’S NO PLACE LIKE) HOME FOR THE HOLIDAYS , Perry Como (RCA) 12 (22)
— 34 LET IT SNOW, LET IT SNOW, LET IT SNOW , Dean Martin (Capitol) 19 (8)
— 37 JINGLE BELLS , Frank Sinatra (Capitol) 4 (33)"
"41 re MONTERO (CALL ME BY YOUR NAME) , Lil Nas X (Columbia) 35 (1) 1 WEEK AT #1
42 62 BIG ENERGY , Latto (Streamcut/ RCA) 11 (42)
43 58 SAND IN MY BOOTS , Morgan Wallen (Big Loud) 25 (32)
44 59 GIRLS WANT GIRLS , Drake featuring Lil Baby (OVO/ Republic) 18 (2)
45 73 FREEDOM WAS A HIGHWAY , Jimmie Allen & Brad Paisley (Stoney Creek) 13 (45)
46 re PEPAS , Farruko (Sony Latin) 21 (25)
47 61 WHO WANT SMOKE??? , Nardo Wick featuring G Herbo, Lil Durk & 21 Savage (Flawless Entertainment) 13 (17)
48 64 ENEMY , Imagine Dragons X JID (Kidinakorner/ Warner Chappell/ Interscope) 7 (48)
49 re LEAVE THE DOOR OPEN , Silk Sonic (Bruno Mars & Anderson .Paak) (Aftermath/ Atlantic) 39 (1) 2 WEEKS AT #1
50 re CHASING AFTER YOU , Ryan Hurd with Maren Morris (RCA Nashville) 30 (23)"
"12 re LEVITATING , Dua Lipa (Warner) 61 (2)
18 re SAVE YOUR TEARS , the Weeknd & Ariana Grande (XO/ Republic) 53 (1) 2 WEEKS AT #1
35 re IF I DIDN’T LOVE YOU , Jason Aldean & Carrie Underwood (Broken Bow/ Macon/ Capitol Nashville) 21 (15)
38 re BEGGIN’ , Maneskin (Sony Music) 25 (13)
41 re MONTERO (CALL ME BY YOUR NAME) , Lil Nas X (Columbia) 35 (1) 1 WEEK AT #1
46 re PEPAS , Farruko (Sony Latin) 21 (25)
49 re LEAVE THE DOOR OPEN , Silk Sonic (Bruno Mars & Anderson .Paak) (Aftermath/ Atlantic) 39 (1) 2 WEEKS AT #1
50 re CHASING AFTER YOU , Ryan Hurd with Maren Morris (RCA Nashville) 30 (23)
62 THE FAMILY MADRIGAL , Stephanie Beatriz, Olga Merediz & Encanto Cast (Walt Disney)
67 WHAT ELSE CAN I DO? , Diane Guerrero & Stephanie Beatriz (Walt Disney)
68 FLOWER SHOPS , ERNEST featuring Morgan Wallen (Big Loud)
69 FINGERS CROSSED , Lauren Spencer-Smith (Supergiant)
82 WAITING ON A MIRACLE , Stephanie Beatriz (Walt Disney)
83 DOS ORUGUITAS , Sebastian Yatra (Walt Disney)
84 re TOO EASY , Gunna & Future (YSL/ 300/ Atlantic) 10 (38)
85 re FAIR TRADE , Drake featuring Travis Scott (OVO/ Republic) 15 (3)
86 re VOLVI , Aventura x Bad Bunny (Premium Latin/ Sony) 18 (22)
87 AA , Walker Hayes (Monument)
88 re COME THROUGH , H.E.R. featuring Chris Brown (RCA) 18 (64)
90 HOME SWEET , Russell Dickerson (Triple Tigers)
91 COME BACK AS A COUNTRY BOY , Blake Shelton (Warner Nashville)
93 BLACK BALL , YoungBoy Never Broke Again & Birdman (Never Broke Again/ Atlantic)
94 re BADDEST , Yung Bleu, Chris Brown & 2 Chainz (Vandross/ Empire) 18 (56)
95 re MOTH TO A FLAME , Swedish House Mafia & the Weeknd (Republic) 7 (27)
96 re ME OR SUM , Nardo Wick, Lil Baby & Future (Flawless/ RCA) 2 (86)
97 I LOVE YOU SO , the Walters (Warner)
98 re BAD MAN (SMOOTH CRIMINAL) , Polo G (Columbia) 6 (49)
99 NEVER WANTED TO BE THAT GIRL , Carly Pearce & Ashley McBryde (Big Machine)
100 re JUST ABOUT OVER YOU , Priscilla Block (Mercury Nashville) 7 (81)"
"TW LW TITLE ARTIST (LABEL) WEEKS PEAK #1
1 1 EASY ON ME , Adele (Columbia) 14 (1) 9 WEEKS AT #1
2 2 STAY , the Kid LAROI & Justin Bieber (Grade A/ Columbia) 27 (1) 7 WEEKS AT #1
3 3 HEAT WAVES , Glass Animals (Wolf Tone/ Polydor/ Republic) 52 (3)
4 5 WE DON’T TALK ABOUT BRUNO , Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast (Walt Disney) 3 (4)
5 4 SHIVERS , Ed Sheeran (Asylum) 18 (4)
6 10 SUPER GREMLIN , Kodak Black (Dollaz N Dealz/ Sniper Gang/ Atlantic) 10 (6)
7 D PUSHIN P , Gunna & Future featuring Young Thug (YSL/ 300) 1 (7)
8 9 NEED TO KNOW , Doja Cat (Kemosabe/ RCA) 31 (8)
9 11 abcdefu , GAYLE (Atlantic) 8 (9)
10 7 COLD HEART (PNAU REMIX) , Elton John & Dua Lipa (EMI/ Mercury) 19 (7)"
"11 D SACRIFICE , the Weeknd (XO/ Republic) 1 (11)
12 6 INDUSTRY BABY , Lil Nas X & Jack Harlow (Columbia) 25 (1) 1 WEEK AT #1
13 8 BAD HABITS , Ed Sheeran (Asylum) 29 (2)
14 14 SURFACE PRESSURE , Jessica Darrow (Walt Disney) 3 (14)
15 13 SMOKIN OUT THE WINDOW , Silk Sonic (Bruno Mars & Anderson.Paak) (Aftermath/ Atlantic) 10 (5)
16 84 TOO EASY , Gunna & Future (YSL/ 300/ Atlantic) 11 (16)
17 17 GHOST , Justin Bieber (Def Jam) 16 (17)
18 12 LEVITATING , Dua Lipa (Warner) 62 (2)
19 69 FINGERS CROSSED , Lauren Spencer-Smith (Supergiant) 2 (19)
20 15 good 4 u , Olivia Rodrigo (Interscope/ Geffen) 35 (1) 1 WEEK AT #1"
"21 18 SAVE YOUR TEARS , the Weeknd & Ariana Grande (XO/ Republic) 54 (1) 2 WEEKS AT #1
22 re TAKE MY BREATH , the Weeknd (XO/ Republic) 17 (6)
23 D THOUGHT I WAS PLAYING , Gunna & 21 Savage (YSL/ 300) 1 (23)
24 20 THAT’S WHAT I WANT , Lil Nas X (Columbia) 17 (10)
25 34 HRS AND HRS , Muni Long (Supergiant) 3 (25)
26 24 OH MY GOD , Adele (Columbia) 8 (5)
27 16 FANCY LIKE , Walker Hayes (Monument) 30 (3)
28 D 25K JACKET , Gunna featuring Lil Baby (YSL/ 300) 1 (28)
29 D GASOLINE , the Weeknd (XO/ Republic) 1 (29)
30 22 ONE RIGHT NOW , Post Malone & the Weeknd (Republic) 10 (6)"
"31 D IS THERE SOMEONE ELSE? , the Weeknd (XO/ Republic) 1 (31)
32 D OUT OF TIME , the Weeknd (XO/ Republic) 1 (32)
33 23 BETTER DAYS , NEIKED X Mae Muller X Polo G (Neiked Collective) 13 (23)
34 30 I HATE U , SZA (Top Dawg/ RCA) 6 (7)
35 19 KISS ME MORE , Doja Cat featuring SZA (Kemosabe/ RCA) 39 (3)
36 21 ESSENCE , Wizkid featuring Justin Bieber & Tems (Starboy/ RCA) 27 (9)
37 26 HAPPIER THAN EVER , Billie Eilish (Darkroom/ Interscope) 24 (11)
38 28 BUY DIRT , Jordan Davis featuring Luke Bryan (RCA Nashville) 23 (28)
39 D HOW DO I MAKE YOU LOVE ME? , the Weeknd (XO/ Republic) 1 (39)
40 25 YOU RIGHT , Doja Cat & the Weeknd (Kemosabe/ RCA) 28 (11)"
"41 29 LOVE NWANTITI (AH AH AH) , CKay (Chocolate City/ Warner ) 17 (29)
43 32 YOU SHOULD PROBABLY LEAVE , Chris Stapleton (Mercury Nashville) 28 (32)
44 31 KNIFE TALK , Drake featuring 21 Savage & Project Pat (OVO/ Republic) 19 (4)
48 36 THINKING ‘BOUT YOU , Dustin Lynch featuring Lauren Alaina or MacKenzie Porter (Broken Bow) 22 (30)
49 39 MEET ME AT OUR SPOT , THE ANXIETY: WILLOW & Tyler Cole (Roc Nation/ MSFTSMusic) 18 (21)
50 35 IF I DIDN’T LOVE YOU , Jason Aldean & Carrie Underwood (Broken Bow/ Macon/ Capitol Nashville) 22 (15)
51 27 BROADWAY GIRLS , Lil Durk featuring Morgan Wallen (Alamo/ Sony Music) 4 (14)
55 40 ONE MISSISSIPPI , Kane Brown (RCA Nashville) 16 (40)
56 37 WHISKEY AND RAIN , Michael Ray (Warner Bros. Nashville) 15 (37)
58 33 WAY 2 SEXY , Drake featuring Future & Young Thug (OVO/ Republic) 19 (1) 1 WEEK AT #1
— 38 BEGGIN’ , Maneskin (Sony Music) 25 (13)"
"42 D POOCHIE GOWN , Gunna (YSL/ 300) 1 (42)
45 D MOP , Gunna featuring Young Thug (YSL/ 300) 1 (45)
46 D ALOTTA CAKE , Gunna (YSL/ 300) 1 (46)
47 D HOW YOU DID THAT , Gunna featuring Kodak Black (YSL/ 300) 1 (47)"
"7 PUSHIN P , Gunna & Future featuring Young Thug (YSL/ 300)
11 SACRIFICE , the Weeknd (XO/ Republic)
22 re TAKE MY BREATH , the Weeknd (XO/ Republic) 17 (6)
23 THOUGHT I WAS PLAYING , Gunna & 21 Savage (YSL/ 300)
28 25K JACKET , Gunna featuring Lil Baby (YSL/ 300)
29 GASOLINE , the Weeknd (XO/ Republic)
31 IS THERE SOMEONE ELSE? , the Weeknd (XO/ Republic)
32 OUT OF TIME , the Weeknd (XO/ Republic)
39 HOW DO I MAKE YOU LOVE ME? , the Weeknd (XO/ Republic)
42 POOCHIE GOWN , Gunna (YSL/ 300)
45 MOP , Gunna featuring Young Thug (YSL/ 300)
46 ALOTTA CAKE , Gunna (YSL/ 300)
47 HOW YOU DID THAT , Gunna featuring Kodak Black (YSL/ 300)
52 HERE WE GO…AGAIN , the Weeknd featuring Tyler, the Creator (XO/ Republic)
53 LESS THAN ZERO , the Weeknd (XO/ Republic)
59 IDK THAT BITCH , Gunna featuring G Herbo (YSL/ 300)
60 BEST FRIENDS , the Weeknd (XO/ Republic)
61 LIVIN WILD , Gunna (YSL/ 300)
62 I HEARD YOU’RE MARRIED , the Weeknd featuring Lil Wayne (XO/ Republic)
63 CIRCLES AROUND THIS TOWN , Maren Morris (Columbia Nashville)
65 DAWN FM , the Weeknd (XO/ Republic)
68 PRIVATE ISLAND , Gunna (YSL/ 300)
70 SOUTH TO WEST , Gunna (YSL/ 300)
72 YOU & ME , Gunna & Chloe (YSL/ 300)
79 STARRY EYES , the Weeknd (XO/ Republic)
85 DON’T BREAK MY HEART , the Weeknd (XO/ Republic)
86 FLOODED , Gunna (YSL/ 300)
92 DIE ALONE , Gunna & Chris Brown featuring Yung Bleu (YSL/ 300)
93 EVERY ANGEL IS TERRIFYING , the Weeknd (XO/ Republic)"
"TW LW TITLE ARTIST (LABEL) WEEKS PEAK #1
1 1 EASY ON ME , Adele (Columbia) 15 (1) 10 WEEKS AT #1
2 4 WE DON’T TALK ABOUT BRUNO , Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast (Walt Disney) 4 (2)
3 3 HEAT WAVES , Glass Animals (Wolf Tone/ Polydor/ Republic) 53 (3)
4 2 STAY , the Kid LAROI & Justin Bieber (Grade A/ Columbia) 28 (1) 7 WEEKS AT #1
5 6 SUPER GREMLIN , Kodak Black (Dollaz N Dealz/ Sniper Gang/ Atlantic) 11 (5)
6 5 SHIVERS , Ed Sheeran (Asylum) 19 (4)
